caractere,sens,lecture
挟,Pinch / Between,きょう しょう | はさ.む はさ.まる わきばさ.む さしはさ.む
枯,Wither / Die / Dry Up,こ | か.れる か.らす
沸,Seethe / Boil / Ferment,ふつ | わ.く わ.かす
濯,Laundry / Wash / Pour On,たく | すす.ぐ ゆす.ぐ
燥,Parch / Dry Up,そう | はしゃ.ぐ
瓶,Bottle / Vial / Jar,びん | かめ
耕,Till / Plow / Cultivate,こう | たがや.す
肯,Agreement / Consent / Comply With,こう | がえんじ.る
脂,Fat / Grease / Tallow,し | あぶら
膚,Skin / Body / Grain,ふ | はだ
軒,Flats / Counter For Houses / Eaves,けん | のき
軟,Soft,なん | やわ.らか やわ.らかい
郊,Outskirts / Suburbs / Rural Area,こう | -
隅,Corner / Nook,ぐう | すみ
隻,Vessels / Counter For Ships / Fish,せき | -
